## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.mvUrls,entity.rating,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
qwerty_1,pqrs1,abc,,https://pics.drugstore.com/prodimg/610969/450.jpg,78,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",5,,,,,,,,,
qwerty_2,pqrs2,abc,,https://pics.drugstore.com/prodimg/572034/450.jpg,43,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.6,,,,,,,,,
qwerty_3,pqrs3,abc,,https://pics.drugstore.com/prodimg/614897/450.jpg,12,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.9,,,,,,,,,
qwerty_4,pqrs4,abc,,https://pics.drugstore.com/prodimg/558611/450.jpg,45,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",5,,,,,,,,,
qwerty_5,pqrs5,abc,,https://pics.drugstore.com/prodimg/403325/450.jpg,24,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.9,,,,,,,,,
qwerty_6,pqrs6,abc,,https://pics.drugstore.com/prodimg/621266/450.jpg,56,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",3.5,,,,,,,,,
qwerty_7,pqrs7,abc,,https://pics.drugstore.com/prodimg/221745/450.jpg,34,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.8,,,,,,,,,
qwerty_8,pqrs8,abc,,https://pics.drugstore.com/prodimg/591268/450.jpg,132,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.7,,,,,,,,,
qwerty_9,pqrs9,abc,,"	https://pics.drugstore.com/prodimg/630132/450.jpg",56,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4,,,,,,,,,
qwerty_10,pqrs10,abc,,https://pics.drugstore.com/prodimg/630650/450.jpg,64,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.5,,,,,,,,,
qwerty_11,pqrs11,xyz,,https://pics.drugstore.com/prodimg/637099/450.jpg,24,,,,"[""https://pics.drugstore.com/prodimg/619840/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619839/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619838/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619836/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619844/plain_50.jpg"",""https://pics.drugstore.com/prodimg/619845/plain_50.jpg"",""https://pics.drugstore.com/prodimg/620135/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542541/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542543/plain_50.jpg"",""https://pics.drugstore.com/prodimg/542562/plain_50.jpg""]",4.9,,,,,,,,,
